"reference","rename","multi"
"Swann et al 2016 JNCC Report, No. 474i","Swann et al 2016 JNCC Report, No. 474i","false"
"Swann et al 2016 JNCC Report, No. 474ij","Swann et al 2016 JNCC Report, No. 474j","false"
"Swann et al 2016 JNCC Report, No. 474k","Swann et al 2016 JNCC Report, No. 474k","false"
"Swann et al 2016 JNCC Report, No. 474l","Swann et al 2016 JNCC Report, No. 474l","false"
"Thaxter et al 2009 J Avain Biol 40, 75-84","Thaxter et al 2009 J Avian Biol 40, 75-84","false"
"Thompson et al 1995 MEPS 125,3-11","Thompson et al 1995 MEPS 125,3-11","false"
"Thompson, K. 1987. THE ECOLOGY OF THE MANX SHEARWATER PUFFINUS PJJFFINUSON RHUM, WEST SCOTLAND. Unpubl. Thesis University of Glasgow","Thompson, K. 1987. THE ECOLOGY OF THE MANX SHEARWATER PUFFINUS PJJFFINUSON RHUM, WEST SCOTLAND. Unpubl. Thesis University of Glasgow","false"
"Votier et al 2010 J Appl Ecol 47, 487-497","Votier et al 2010 J Appl Ecol 47, 487-497","false"
"Votier et al 2010 J Appl Ecol 47, 487-498","Votier et al 2010 J Appl Ecol 47, 487-497","false"
"Votier et al 2010 J Appl Ecol 47, 487-499","Votier et al 2010 J Appl Ecol 47, 487-497","false"
"Votier et al 2010 J Appl Ecol 47, 487-500","Votier et al 2010 J Appl Ecol 47, 487-497","false"
"Wagner 1987 Seabird 19,58-59","Wagner 1987 Seabird 19,58-59","false"
"Wakefield et al 2015 Ecology 96, 3058-3074","Wakefield et al 2015 Ecology 96, 3058-3074","false"
"Wakefield et al 2015 Ecology 96, 3058-3075","Wakefield et al 2015 Ecology 96, 3058-3074","false"
"Wakefield et al 2015 Ecology 96, 3058-3076","Wakefield et al 2015 Ecology 96, 3058-3074","false"
"Wakefield et al 2015 Ecology 96, 3058-3077","Wakefield et al 2015 Ecology 96, 3058-3074","false"
"Wakefield et al 2015 Ecology 96, 3058-3078","Wakefield et al 2015 Ecology 96, 3058-3074","false"
"Wakefield et al 2015 Ecology 96, 3058-3079","Wakefield et al 2015 Ecology 96, 3058-3074","false"
"Wakefield et al 2015 Ecology 96, 3058-3080","Wakefield et al 2015 Ecology 96, 3058-3074","false"
"Wakefield et al 2015 Ecology 96, 3058-3081","Wakefield et al 2015 Ecology 96, 3058-3074","false"
"Wakefield et al 2015 Ecology 96, 3058-3082","Wakefield et al 2015 Ecology 96, 3058-3074","false"
"Wakefield et al 2015 Ecology 96, 3058-3083","Wakefield et al 2015 Ecology 96, 3058-3074","false"
"Wanless 1984 Seabird 7,62-70","Wanless 1984 Seabird 7,62-70","false"
"Wanless et al 2005 MEPS 294, 1-8","Wanless et al 2005 MEPS 294, 1-8","false"
"Wilson et al 2005 Ardea 92, 197-207","Wilson et al 2004 Ardea 92, 197-207","false"
"Wright & Bailey (n.d.) Marine Laboratory Aberdeen Fisheries Research Report, 15/93.","Wright & Bailey (n.d.) Marine Laboratory Aberdeen Fisheries Research Report, 15/93.","false"
