"reference","rename","multi"
"Daunt & Wanless IMLOT 1973-2014, Harris & Wanless 1990 Journal of Applied Ecology 27,172–187, Harris & Wanless 1997 ICES Journal of Marine Science 54, 615–623, Rindorf 2000 Marine Ecology Progress Series 202, 241–252","Daunt & Wanless IMLOT 1973-2014; Harris & Wanless 1990 Journal of Applied Ecology 27,172–187; Harris & Wanless 1997 ICES Journal of Marine Science 54, 615–623; Rindorf 2000 Marine Ecology Progress Series 202, 241–252","true"
"Daunt & Wanless IMLOT 1973-2014, Harris & Wanless 1997 ICES Journal of Marine Science 54, 615–623, Rindorf 2000 Marine Ecology Progress Series 202, 241–252","Daunt & Wanless IMLOT 1973-2014; Harris & Wanless 1997 ICES Journal of Marine Science 54, 615–623; Rindorf 2000 Marine Ecology Progress Series 202, 241–252","true"
"Daunt & Wanless IMLOT 1973-2014, Harris & Wanless 1997 ICES Journal of Marine Science 54, 615–623, Rindorf 2000 Marine Ecology Progress Series 202, 241–252, Wanless & Harris 1992 Bird Study 39, 145–154","Daunt & Wanless IMLOT 1973-2014; Harris & Wanless 1997 ICES Journal of Marine Science 54, 615–623; Rindorf 2000 Marine Ecology Progress Series 202, 241–252; Wanless & Harris 1992 Bird Study 39, 145–154","true"
"Daunt & Wanless IMLOT 1973-2014, Harris & Wanless 1998 JNCC Report, No. 282, Bull et al 2004 Ardea 92, 43–52","Daunt & Wanless IMLOT 1973-2014; Harris & Wanless 1998 JNCC Report, No. 282; Bull et al 2004 Ardea 92, 43–52","true"
"Daunt & Wanless IMLOT 1973-2014, Harris et al 2005 JNCC Report, No. 375","Daunt & Wanless IMLOT 1973-2014; Harris et al 2005 JNCC Report, No. 375","true"
"Daunt & Wanless IMLOT 1973-2014, Newell et 2013  JNCC Report, No. 475b","Daunt & Wanless IMLOT 1973-2014; Newell et al 2013  JNCC Report, No. 475b","true"
"Daunt & Wanless IMLOT 1973-2014, Newell et al 2013 JNCC Report, No. 475a","Daunt & Wanless IMLOT 1973-2014; Newell et al 2013 JNCC Report, No. 475a","true"
"Daunt & Wanless IMLOT 1973-2014, Newell et al 2013 JNCC Report, No. 475c","Daunt & Wanless IMLOT 1973-2014; Newell et al 2013 JNCC Report, No. 475c","true"
"Daunt & Wanless IMLOT 1973-2014, Newell et al 2013 JNCC Report, No. 475d","Daunt & Wanless IMLOT 1973-2014; Newell et al 2013 JNCC Report, No. 475d","true"
"Daunt & Wanless IMLOT 1973-2014, Newell et al 2013 JNCC Report, No. 475e","Daunt & Wanless IMLOT 1973-2014; Newell et al 2013 JNCC Report, No. 475e","true"
"Daunt & Wanless IMLOT 1973-2014, Newell et al 2013 JNCC Report, No. 475f","Daunt & Wanless IMLOT 1973-2014; Newell et al 2013 JNCC Report, No. 475f","true"
