Common name,Species,Year,Startyear,Endyear,Location,Latitude,Longitude,Breeding status,Age Group,Prey.type,Prey.species,FoO,Num Freq,Freq Biomass,Prey size,SD,Sample.size,Sample.type,Source,Reference,Notes
Atlantic puffin,Fratercula arctica,1978,1978,1978,Isle of May,56.19,-2.56,Breeding,Adult,Others,Others,0.02,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1979,1979,1979,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 0-group,,0.27,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1979,1979,1979,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 1+ group,,0.43,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1979,1979,1979,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel,Ammodytidae,0.7,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1979,1979,1979,Isle of May,56.19,-2.56,Breeding,Adult,Clupeidae,Clupeidae,0.27,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1979,1979,1979,Isle of May,56.19,-2.56,Breeding,Adult,Others,Others,0.03,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1980,1980,1980,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 0-group,,0.56,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1980,1980,1980,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 1+ group,,0.26,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1980,1980,1980,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel,Ammodytidae,0.82,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1980,1980,1980,Isle of May,56.19,-2.56,Breeding,Adult,Clupeidae,Clupeidae,0.17,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1980,1980,1980,Isle of May,56.19,-2.56,Breeding,Adult,Others,Others,0.01,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1981,1981,1981,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 0-group,,0.48,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1981,1981,1981,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 1+ group,,0.22,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1981,1981,1981,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel,Ammodytidae,0.7,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1981,1981,1981,Isle of May,56.19,-2.56,Breeding,Adult,Clupeidae,Clupeidae,0.29,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1981,1981,1981,Isle of May,56.19,-2.56,Breeding,Adult,Others,Others,0.01,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1982,1982,1982,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel,0 Group Sandeel,0.1,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1982,1982,1982,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel,1+ Group Sandeel,0.59,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1982,1982,1982,Isle of May,56.19,-2.56,Breeding,Adult,Clupeidae,Clupeidae,0.26,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1982,1982,1982,Isle of May,56.19,-2.56,Breeding,Adult,Others,Others,0.05,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1983,1983,1983,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 0-group,,0.46,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1983,1983,1983,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 1+ group,,0.47,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1983,1983,1983,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel,Ammodytidae,0.93,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1983,1983,1983,Isle of May,56.19,-2.56,Breeding,Adult,Clupeidae,Clupeidae,0.04,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1983,1983,1983,Isle of May,56.19,-2.56,Breeding,Adult,Others,Others,0.03,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1984,1984,1984,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 0-group,,0.26,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1984,1984,1984,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 1+ group,,0.43,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1984,1984,1984,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel,Ammodytidae,0.79,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1984,1984,1984,Isle of May,56.19,-2.56,Breeding,Adult,Clupeidae,Clupeidae,0.3,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1984,1984,1984,Isle of May,56.19,-2.56,Breeding,Adult,Others,Others,0.01,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
Atlantic puffin,Fratercula arctica,1985,1985,1985,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 0-group,,0.42,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
