id,year,startyear,endyear,location,latitude,longitude,pred_common_name,pred_species,pred_breeding_status,pred_age_group,pred_aphia_id,pred_valid_name,pred_valid_aphia_id,prey_orig_descr,prey_taxon,prey_size,prey_sd,prey_age_group,prey_aphia_id,prey_valid_name,prey_valid_aphia_id,freq_occ,freq_num,freq_biomass,sample_size,sample_type,ref_n,ref_ids,source,notes
17,1974,1974,1974,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.48,NA,NA,NA,vis obs,1,REF016,report,NA
17,1974,1974,1974,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.48,NA,NA,NA,vis obs,1,REF016,report,NA
18,1974,1974,1974,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,clupeidae,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.5,NA,NA,NA,vis obs,1,REF016,report,NA
18,1974,1974,1974,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,clupeidae,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.5,NA,NA,NA,vis obs,1,REF016,report,NA
19,1974,1974,1974,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,others,Others,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,vis obs,1,REF016,report,NA
19,1974,1974,1974,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,others,Others,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,vis obs,1,REF016,report,NA
20,1975,1975,1975,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 0-group,Ammodytidae,NA,NA,0,125516,Ammodytidae,125516,0.09,NA,NA,NA,vis obs,1,REF016,report,NA
20,1975,1975,1975,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 0-group,Ammodytidae,NA,NA,0,125516,Ammodytidae,125516,0.09,NA,NA,NA,vis obs,1,REF016,report,NA
21,1975,1975,1975,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 1+ group,Ammodytidae,NA,NA,+1,125516,Ammodytidae,125516,0.06,NA,NA,NA,vis obs,1,REF016,report,NA
21,1975,1975,1975,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 1+ group,Ammodytidae,NA,NA,+1,125516,Ammodytidae,125516,0.06,NA,NA,NA,vis obs,1,REF016,report,NA
22,1975,1975,1975,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.15,NA,NA,NA,vis obs,1,REF016,report,NA
22,1975,1975,1975,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.15,NA,NA,NA,vis obs,1,REF016,report,NA
23,1975,1975,1975,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,clupeidae,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.85,NA,NA,NA,vis obs,1,REF016,report,NA
23,1975,1975,1975,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,clupeidae,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.85,NA,NA,NA,vis obs,1,REF016,report,NA
24,1975,1975,1975,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,others,Others,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,vis obs,1,REF016,report,NA
24,1975,1975,1975,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,others,Others,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,vis obs,1,REF016,report,NA
25,1976,1976,1976,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 0-group,Ammodytidae,NA,NA,0,125516,Ammodytidae,125516,0.38,NA,NA,NA,vis obs,1,REF016,report,NA
25,1976,1976,1976,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 0-group,Ammodytidae,NA,NA,0,125516,Ammodytidae,125516,0.38,NA,NA,NA,vis obs,1,REF016,report,NA
26,1976,1976,1976,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 1+ group,Ammodytidae,NA,NA,+1,125516,Ammodytidae,125516,0.03,NA,NA,NA,vis obs,1,REF016,report,NA
26,1976,1976,1976,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 1+ group,Ammodytidae,NA,NA,+1,125516,Ammodytidae,125516,0.03,NA,NA,NA,vis obs,1,REF016,report,NA
27,1976,1976,1976,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.41,NA,NA,NA,vis obs,1,REF016,report,NA
27,1976,1976,1976,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.41,NA,NA,NA,vis obs,1,REF016,report,NA
28,1976,1976,1976,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,clupeidae,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.51,NA,NA,NA,vis obs,1,REF016,report,NA
28,1976,1976,1976,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,clupeidae,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.51,NA,NA,NA,vis obs,1,REF016,report,NA
29,1976,1976,1976,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,others,Others,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,vis obs,1,REF016,report,NA
29,1976,1976,1976,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,others,Others,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,vis obs,1,REF016,report,NA
30,1977,1977,1977,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 0-group,Ammodytidae,NA,NA,0,125516,Ammodytidae,125516,0.25,NA,NA,NA,vis obs,1,REF016,report,NA
30,1977,1977,1977,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 0-group,Ammodytidae,NA,NA,0,125516,Ammodytidae,125516,0.25,NA,NA,NA,vis obs,1,REF016,report,NA
31,1977,1977,1977,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 1+ group,Ammodytidae,NA,NA,+1,125516,Ammodytidae,125516,0.07,NA,NA,NA,vis obs,1,REF016,report,NA
31,1977,1977,1977,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 1+ group,Ammodytidae,NA,NA,+1,125516,Ammodytidae,125516,0.07,NA,NA,NA,vis obs,1,REF016,report,NA
32,1977,1977,1977,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.32,NA,NA,NA,vis obs,1,REF016,report,NA
32,1977,1977,1977,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.32,NA,NA,NA,vis obs,1,REF016,report,NA
33,1977,1977,1977,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,clupeidae,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.67,NA,NA,NA,vis obs,1,REF016,report,NA
33,1977,1977,1977,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,clupeidae,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.67,NA,NA,NA,vis obs,1,REF016,report,NA
34,1977,1977,1977,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,others,Others,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,vis obs,1,REF016,report,NA
34,1977,1977,1977,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,others,Others,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,vis obs,1,REF016,report,NA
35,1978,1978,1978,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 0-group,Ammodytidae,NA,NA,0,125516,Ammodytidae,125516,0.34,NA,NA,NA,vis obs,1,REF016,report,NA
35,1978,1978,1978,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 0-group,Ammodytidae,NA,NA,0,125516,Ammodytidae,125516,0.34,NA,NA,NA,vis obs,1,REF016,report,NA
36,1978,1978,1978,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 1+ group,Ammodytidae,NA,NA,+1,125516,Ammodytidae,125516,0.11,NA,NA,NA,vis obs,1,REF016,report,NA
36,1978,1978,1978,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 1+ group,Ammodytidae,NA,NA,+1,125516,Ammodytidae,125516,0.11,NA,NA,NA,vis obs,1,REF016,report,NA
37,1978,1978,1978,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.45,NA,NA,NA,vis obs,1,REF016,report,NA
37,1978,1978,1978,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.45,NA,NA,NA,vis obs,1,REF016,report,NA
38,1978,1978,1978,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,clupeidae,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.53,NA,NA,NA,vis obs,1,REF016,report,NA
38,1978,1978,1978,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,clupeidae,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.53,NA,NA,NA,vis obs,1,REF016,report,NA
