phylum,class,order,family,genus,species,base_name,base_rank,aphiaID,valid_name,valid_aphiaID
Chordata,Actinopterygii,Perciformes,Blenniidae,NA,NA,Blenniidae,family,125519,Blenniidae,125519
Chordata,Actinopterygii,Perciformes,Sparidae,Diplodus,Diplodus sargus,Diplodus sargus,species,127053,Diplodus sargus,127053
Chordata,Actinopterygii,Perciformes,Mugilidae,NA,NA,Mugilidae,family,125546,Mugilidae,125546
Chordata,Actinopterygii,Gadiformes,Gadidae,Boregadus,Boreogadus saida,Boreogadus saida,species,126433,Boreogadus saida,126433
Chordata,Actinopterygii,Gadiformes,Gadidae,Pollachius,Pollachius virens,Pollachius virens,species,126441,Pollachius virens,126441
Chordata,Actinopterygii,Gadiformes,Gadidae,Pollachius,Pollachius pollachius,Pollachius pollachius,species,126440,Pollachius pollachius,126440
Chordata,Actinopterygii,Gadiformes,Gadidae,Pollachius,NA,Pollachius,genus,125736,Pollachius,125736
Chordata,Actinopterygii,Gadiformes,Gadidae,Trisopterus,Trisopterus minutus,Trisopterus minutus,species,126446,Trisopterus minutus,126446
Chordata,Actinopterygii,Gadiformes,Gadidae,Trisopterus,Trisopterus esmarkii,Trisopterus esmarkii,species,126444,Trisopterus esmarkii,126444
Chordata,Actinopterygii,Gadiformes,Gadidae,Trisopterus,Trisopterus luscus,Trisopterus luscus,species,126445,Trisopterus luscus,126445
Chordata,Actinopterygii,Gadiformes,Gadidae,Trisopterus,NA,Trisopterus,genus,125739,Trisopterus,125739
Chordata,Actinopterygii,Gadiformes,Gadidae,Merlangius,Merlangius merlangus,Merlangius merlangus,species,126438,Merlangius merlangus,126438
Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus morhua,Gadus morhua,species,126436,Gadus morhua,126436
Chordata,Actinopterygii,Gadiformes,Gadidae,Micromesistius,Micromesistius poutassou,Micromesistius poutassou,species,126439,Micromesistius poutassou,126439
Chordata,Actinopterygii,Gadiformes,Gadidae,Melanogrammus,Melanogrammus aeglefinus,Melanogrammus aeglefinus,species,126437,Melanogrammus aeglefinus,126437
Chordata,Actinopterygii,Gadiformes,Gadidae,Gadiculus,Gadiculus argenteus,Gadiculus argenteus,species,126435,Gadiculus argenteus,126435
Chordata,Actinopterygii,Gadiformes,Gadidae,Raniceps,Raniceps raninus,Raniceps raninus,species,126442,Raniceps raninus,126442
Chordata,Actinopterygii,Gadiformes,Gadidae,NA,NA,Gadidae,family,125469,Gadidae,125469
Chordata,Actinopterygii,Gadiformes,Lotidae,Gaidropsarus,Gaidropsarus vulgaris,Gaidropsarus vulgaris,species,126458,Gaidropsarus vulgaris,126458
Chordata,Actinopterygii,Gadiformes,Lotidae,Gaidropsarus,Gaidropsarus mediterraneus,Gaidropsarus mediterraneus,species,126457,Gaidropsarus mediterraneus,126457
Chordata,Actinopterygii,Gadiformes,Lotidae,Gaidropsarus,NA,Gaidropsarus,genus,125743,Gaidropsarus,125743
Chordata,Actinopterygii,Gadiformes,Lotidae,Ciliata,Ciliata mustela,Ciliata mustela,species,126448,Ciliata mustela,126448
Chordata,Actinopterygii,Gadiformes,Lotidae,Enchelyopus,Enchelyopus cimbrius,Enchelyopus cimbrius,species,126450,Enchelyopus cimbrius,126450
Chordata,Actinopterygii,Gadiformes,Lotidae,NA,NA,Lotidae,family,125470,Lotidae,125470
Chordata,Actinopterygii,Gadiformes,Phycidae,Phycis,Phycis blennoides,Phycis blennoides,species,126501,Phycis blennoides,126501
Chordata,Actinopterygii,Gadiformes,Phycidae,Urophycis,Urophycis tenuis,Urophycis tenuis,species,126504,Urophycis tenuis,126504
Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius merluccius,Merluccius merluccius,species,126484,Merluccius merluccius,126484
Chordata,Actinopterygii,Gadiformes,Merlucciidae,NA,NA,Merlucciidae,family,125473,Merlucciidae,125473
Chordata,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,Mallotus villosus,species,126735,Mallotus villosus,126735
Chordata,Actinopterygii,Osmeriformes,Argentinidae,Argentina,Argentina sphyraena,Argentina sphyraena,species,126716,Argentina sphyraena,126716
Chordata,Actinopterygii,Osmeriformes,Argentinidae,NA,NA,Argentinidae,family,125508,Argentinidae,125508
Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,species,126417,Clupea harengus,126417
Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sprattus,Sprattus sprattus,Sprattus sprattus,species,126425,Sprattus sprattus,126425
Chordata,Actinopterygii,Clupeiformes,Clupeidae,NA,NA,Clupeidae,family,125464,Clupeidae,125464
Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,Engraulis encrasicolus,species,126426,Engraulis encrasicolus,126426
Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,Myoxocephalus scorpius,Myoxocephalus scorpius,species,127203,Myoxocephalus scorpius,127203
Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Taurulus,Taurulus bubalis,Taurulus bubalis,species,127204,Taurulus bubalis,127204
Chordata,Actinopterygii,Scorpaeniformes,Cottidae,NA,NA,Cottidae,family,125589,Cottidae,125589
Chordata,Actinopterygii,Scorpaeniformes,Cyclopteridae,Cyclopterus,Cyclopterus lumpus,Cyclopterus lumpus,species,127214,Cyclopterus lumpus,127214
Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Leptagonus,Leptagonus decagonus,Leptagonus decagonus,species,127191,Leptagonus decagonus,127191
Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Agonus,Agonus cataphractus,Agonus cataphractus,species,127190,Agonus cataphractus,127190
Chordata,Actinopterygii,Scorpaeniformes,Agonidae,NA,NA,Agonidae,family,125588,Agonidae,125588
Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,Liparis liparis,Liparis liparis,species,127219,Liparis liparis liparis,293624
Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes fasciatus,Sebastes fasciatus,species,127252,Sebastes fasciatus,127252
Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes marinus,Sebastes marinus,species,127253,Sebastes norvegicus,151324
Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes viviparus,Sebastes viviparus,species,127255,Sebastes viviparus,127255
Chordata,Actinopterygii,Scorpaeniformes,Neosebastidae,NA,NA,Neosebastidae,family,154248,Neosebastidae,154248
Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Eutrigla,Eutrigla gurnardus,Eutrigla gurnardus,species,150637,Eutrigla gurnardus,150637
Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Chelidonichthys,Chelidonichthys cuculus,Chelidonichthys cuculus,species,127259,Chelidonichthys cuculus,127259
Chordata,Actinopterygii,Scorpaeniformes,Triglidae,NA,NA,Triglidae,family,125598,Triglidae,125598
Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Entelurus,Entelurus aequoreus,Entelurus aequoreus,species,127379,Entelurus aequoreus,127379
Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus rostellatus,Syngnathus rostellatus,species,127389,Syngnathus rostellatus,127389
Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus acus,Syngnathus acus,species,127387,Syngnathus acus,127387
Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Nerophis,Nerophis lumbriciformis,Nerophis lumbriciformis,species,127383,Nerophis lumbriciformis,127383
Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,NA,NA,Syngnathidae,family,125606,Syngnathidae,125606
Chordata,Actinopterygii,Syngnathiformes,NA,NA,NA,Syngnathiformes,order,10327,Syngnathiformes,10327
Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,Maurolicus,Maurolicus muelleri,Maurolicus muelleri,species,127312,Maurolicus muelleri,127312
Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,Gasterosteus aculeatus,species,126505,Gasterosteus aculeatus,126505
Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Spinachia,Spinachia spinachia,Spinachia spinachia,species,126508,Spinachia spinachia,126508
Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,NA,NA,Gasterosteidae,family,125476,Gasterosteidae,125476
Chordata,Actinopterygii,Myctophiformes,Myctophidae,Benthosema,Benthosema glaciale,Benthosema glaciale,species,126580,Benthosema glaciale,126580
Chordata,Actinopterygii,Beloniformes,Scomberescoidae,Scomberesox,Scomberesox saurus,Scomberesox saurus,species,126392,Scomberesox saurus saurus,236461
Chordata,Actinopterygii,Beloniformes,Belonidae,Belone,Belone belone,Belone belone,species,126375,Belone belone,126375
Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,Salmo salar,Salmo salar,species,127186,Salmo salar,127186
Chordata,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,NA,Coregonus,genus,126139,Coregonus,126139
Chordata,Actinopterygii,Salmoniformes,Salmonidae,NA,NA,Salmonidae,family,125587,Salmonidae,125587
Chordata,Actinopterygii,Atheriniformes,Atherinidae,Atherina,Atherina presbyter,Atherina presbyter,species,272030,Atherina presbyter,272030
Chordata,Actinopterygii,Stephanoberyciformes,Melamphaidae,Scopelogadus,Scopelogadus beanii,Scopelogadus beanii,species,127278,Scopelogadus beanii,127278
Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,Anguilla anguilla,species,126281,Anguilla anguilla,126281
Chordata,Actinopterygii,NA,NA,NA,NA,Actinopterygii,class,10194,Actinopterygii,10194
Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Raja,NA,Raja,genus,105766,Raja,105766
Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,Squalus acanthias,species,105923,Squalus acanthias,105923
Chordata,Mammalia,NA,NA,NA,NA,Mammalia,class,1837,Mammalia,1837
Chordata,NA,NA,NA,NA,NA,Chordata,phylum,1821,Chordata,1821
Arthropoda,Malacostraca,Amphipoda,Calliopiidae,Apherusa,Apherusa glacialis,Apherusa glacialis,species,102166,Apherusa glacialis,102166
Arthropoda,Malacostraca,Amphipoda,Gammarellidae,Gammarellus,Gammarellus homari,Gammarellus homari,species,102253,Gammarellus homari,102253
Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus wilkitzkii,Gammarus wilkitzkii,species,102297,Gammarus wilkitzkii,102297
Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus setosus,Gammarus setosus,species,102293,Gammarus setosus,102293
Arthropoda,Malacostraca,Amphipoda,Lysianassidae,Hippomedon,Hippomedon denticulatus,Hippomedon denticulatus,species,102570,Hippomedon denticulatus,102570
Arthropoda,Malacostraca,Amphipoda,Gammaracanthidae,Gammaracanthus,Gammaracanthus caspius,Gammaracanthus caspius,species,489919,Gammaracanthus caspius,489919
Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,Themisto libellula,Themisto libellula,species,156452,Themisto libellula,156452
Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,Themisto abyssorum,Themisto abyssorum,species,103259,Themisto abyssorum,103259
Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,Hyperia medusarum,Hyperia medusarum,species,103253,Hyperia medusarum,103253
Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,Hyperia spinigera,Hyperia spinigera,species,103254,Hyperia spinigera,103254
Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,Hyperia galba,Hyperia galba,species,103251,Hyperia galba,103251
Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperoche,Hyperoche medusarum,Hyperoche medusarum,species,103256,Hyperoche medusarum,103256
Arthropoda,Malacostraca,Amphipoda,Lysianassidae,NA,NA,Lysianassidae,family,101395,Lysianassidae,101395
Arthropoda,Malacostraca,Amphipoda,Uristidae,Onisimus,Onisimus glacialis,Onisimus glacialis,species,102644,Onisimus glacialis,102644
Arthropoda,Malacostraca,Amphipoda,Uristidae,Onisimus,Onisimus nanseni,Onisimus nanseni,species,102647,Onisimus nanseni,102647
Arthropoda,Malacostraca,Amphipoda,Uristidae,Onisimus,Onisimus litoralis,Onisimus litoralis,species,102646,Onisimus litoralis,102646
Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Ischyrocerus,Ischyrocerus anguipes,Ischyrocerus anguipes,species,102412,Ischyrocerus anguipes,102412
Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Paroediceros,Paroediceros lynceus,Paroediceros lynceus,species,102911,Paroediceros lynceus,102911
Arthropoda,Malacostraca,Amphipoda,Eusiridae,Eusirus,NA,Eusirus,genus,101519,Eusirus,101519
Arthropoda,Malacostraca,Amphipoda,Talitridae,Orchestia,Orchestia gammarellus,Orchestia gammarellus,species,103202,Orchestia gammarellus,103202
Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Megannyctiphares,Meganyctiphanes norvegica,Meganyctiphanes norvegica,species,110690,Meganyctiphanes norvegica,110690
Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,Thysanoessa inermis,Thysanoessa inermis,species,110708,Thysanoessa inermis,110708
Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,Euphausiacea,order,1128,Euphausiacea,1128
Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,Nephrops norvegicus,Nephrops norvegicus,species,107254,Nephrops norvegicus,107254
Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,NA,Nephrops,genus,106863,Nephrops,106863
Arthropoda,Malacostraca,Decapoda,Thoridae,Eualus,Eualus pusiolus,Eualus pusiolus,species,107507,Eualus pusiolus,107507
Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,Pandalus borealis,Pandalus borealis,species,107649,Pandalus borealis,107649
Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,Pandalus montagui,Pandalus montagui,species,107651,Pandalus montagui,107651
Arthropoda,Malacostraca,Decapoda,Hippolytidae,NA,NA,Hippolytidae,family,106777,Hippolytidae,106777
Arthropoda,Malacostraca,Decapoda,Munididae,Munida,Munida intermedia,Munida intermedia,species,107157,Munida intermedia,107157
Arthropoda,Malacostraca,Decapoda,Pasiphaeidae,Parapasiphae,Parapasiphae sulcatifrons,Parapasiphae sulcatifrons,species,107673,Parapasiphae sulcatifrons,107673
Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus bernhardus,Pagurus bernhardus,species,107232,Pagurus bernhardus,107232
Arthropoda,Malacostraca,Decapoda,Polybiidae,Liocarcinus,NA,Liocarcinus,genus,106925,Liocarcinus,106925
Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,Acanthephyra pelagica,Acanthephyra pelagica,species,107581,Acanthephyra pelagica,107581
Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,NA,Acanthephyra,genus,107018,Acanthephyra,107018
Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,Pandalus borealis,Pandalus borealis,species,107649,Pandalus borealis,107649
Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,species,107381,Carcinus maenas,107381
Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer pagurus,Cancer pagurus,species,107276,Cancer pagurus,107276
Arthropoda,Malacostraca,Decapoda,Portunidae,Portunus,Portunus puber,Portunus puber,species,148470,Necora puber,107398
Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon crangon,Crangon crangon,species,107552,Crangon crangon,107552
Arthropoda,Malacostraca,Decapoda,NA,NA,NA,Decapoda,order,1130,Decapoda,1130
Arthropoda,Malacostraca,Mysida,Mysidae,Mysis,Mysis oculata,Mysis oculata,species,120115,Mysis oculata,120115
Arthropoda,Malacostraca,Mysida,NA,NA,NA,Mysida,order,149668,Mysida,149668
Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,Idotea metallica,Idotea metallica,species,119047,Idotea metallica,119047
Arthropoda,Malacostraca,Isopoda,Cirolanidae,Eurydice,Eurydice pulchra,Eurydice pulchra,species,118852,Eurydice pulchra,118852
Arthropoda,Malacostraca,Isopoda,Cirolanidae,Eurydice,NA,Eurydice,genus,118401,Eurydice,118401
Arthropoda,Malacostraca,Isopoda,Ligiidae,Ligia,Ligia oceanica,Ligia oceanica,species,146999,Ligia oceanica,146999
Arthropoda,Malacostraca,Isopoda,NA,NA,NA,Isopoda,order,1131,Isopoda,1131
Arthropoda,Malacostraca,Lophogastrida,Gnathophausiidae,Gnathophausia,Gnathophausia zoea,Gnathophausia zoea,species,119930,Gnathophausia zoea,119930
Arthropoda,Malacostraca,NA,NA,NA,NA,Malacostraca,class,1071,Malacostraca,1071
Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA,Calanus,genus,104152,Calanus,104152
Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,Metridia longa,Metridia longa,species,104632,Metridia longa,104632
Arthropoda,Hexanauplia,Siphonostomatoida,Caligidae,Caligus,Caligus elongatus,Caligus elongatus,species,478342,Caligus coryphaenae,135748
Arthropoda,Pycnogonida,NA,NA,NA,NA,Pycnogonida,class,1302,Pycnogonida,1302
Arthropoda,NA,NA,NA,NA,NA,Arthropoda,phylum,1065,Arthropoda,1065
Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatus,Gonatus steenstrupi,Gonatus steenstrupi,species,140027,Gonatus steenstrupi,140027
Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatus,Gonatus fabricii,Gonatus fabricii,species,395177,Gonatus steenstrupi,140027
Mollusca,Cephalopoda,Oegopsida,Gonatidae,NA,NA,Gonatidae,family,11743,Gonatidae,11743
Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Illex,Illex illecebrosus,Illex illecebrosus,species,748978,Illex coindetii,140621
Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Todarodes,Todarodes sagittatus,Todarodes sagittatus,species,140624,Todarodes sagittatus,140624
Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Todaropsis,Todaropsis eblanae,Todaropsis eblanae,species,140625,Todaropsis eblanae,140625
Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,NA,NA,Ommastrephidae,family,11760,Ommastrephidae,11760
Mollusca,Cephalopoda,Oegopsida,Cranchiidae,Teuthowenia,Teuthowenia megalops,Teuthowenia megalops,species,139429,Teuthowenia megalops,139429
Mollusca,Cephalopoda,Oegopsida,Cranchiidae,Taonius,Taonius pavo,Taonius pavo,species,139428,Taonius pavo,139428
Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,Onychoteuthis banksii,Onychoteuthis banksii,species,140649,Onychoteuthis banksii,140649
Mollusca,Cephalopoda,Oegopsida,Mastigoteuthidae,Mastigoteuthis,NA,Mastigoteuthis,genus,138168,Mastigoteuthis,138168
Mollusca,Cephalopoda,Teuthida,NA,NA,NA,Teuthida,order,11716,Teuthida,11716
Mollusca,Cephalopoda,Sepiida,Sepiidae,Sepia,Sepia officinalis,Sepia officinalis,species,141444,Sepia officinalis,141444
Mollusca,Cephalopoda,Myopsida,Loliginidae,Alloteuthis,Alloteuthis subulata,Alloteuthis subulata,species,153131,Alloteuthis subulata,153131
Mollusca,Cephalopoda,NA,NA,NA,NA,Cephalopoda,class,11707,Cephalopoda,11707
Mollusca,Gastropoda,Thecosomata,Limacinidae,Limacina,Limacina limata,Limacina limata,species,832992,Limacina limata,832992
Mollusca,Gastropoda,Pteropoda,NA,NA,NA,Pteropoda,order,325345,Pteropoda,325345
Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum,Buccinum undatum,Buccinum undatum,species,138878,Buccinum undatum,138878
Mollusca,Gastropoda,Neogastropoda,Trochidae,Monodonta,Monodonta lineata,Monodonta lineata,species,153534,Phorcus lineatus,689176
Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,Nucella lapillus,Nucella lapillus,species,140403,Nucella lapillus,140403
Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Littorina saxatilis,Littorina saxatilis,species,140264,Littorina saxatilis,140264
