phylum,class,order,family,genus,species,base_name,base_rank,aphiaID,valid_name,valid_aphiaID,role
Chordata,Actinopterygii,Perciformes,Zoarcidae,Eumesogrammus,Eumesogrammus praecisus,Eumesogrammus praecisus,species,159817,Eumesogrammus praecisus,159817,prey
Chordata,Actinopterygii,Perciformes,Zoarcidae,Zoarces,Zoarces viviparus,Zoarces viviparus,species,127123,Zoarces viviparus,127123,prey
Chordata,Actinopterygii,Perciformes,Stichaeidae,Anisarchus,Anisarchus medius,Anisarchus medius,species,127070,Anisarchus medius,127070,prey
Chordata,Actinopterygii,Perciformes,Stichaeidae,Lumpenus,Lumpenus lampretaeformis,Lumpenus lampretaeformis,species,154675,Lumpenus lampretaeformis,154675,prey
Chordata,Actinopterygii,Perciformes,Stichaeidae,Leptoclinus,Leptoclinus maculatus,Leptoclinus maculatus,species,127072,Leptoclinus maculatus,127072,prey
Chordata,Actinopterygii,Perciformes,Pholidae,Pholis,Pholis gunnellus,Pholis gunnellus,species,126996,Pholis gunnellus,126996,prey
Chordata,Actinopterygii,Perciformes,Pholidae,NA,NA,Pholidae,family,125550,Pholidae,125550,prey
Chordata,Actinopterygii,Perciformes,Stromateidae,Peprilus,Peprilus triacanthus,Peprilus triacanthus,species,159828,Peprilus triacanthus,159828,prey
Chordata,Actinopterygii,Perciformes,Scombridae,Scomber,Scomber scombrus,Scomber scombrus,species,127023,Scomber scombrus,127023,prey
Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas,Anarhichas lupus,Anarhichas lupus,species,126758,Anarhichas lupus,126758,prey
Chordata,Actinopterygii,Perciformes,Callionymidae,Callionymus,Callionymus lyra,Callionymus lyra,species,126792,Callionymus lyra,126792,prey
Chordata,Actinopterygii,Perciformes,Callionymidae,Callionymus,Callionymus maculatus,Callionymus maculatus,species,126793,Callionymus maculatus,126793,prey
Chordata,Actinopterygii,Perciformes,Callionymidae,Callionymus,NA,Callionymus,genus,125930,Callionymus,125930,prey
Chordata,Actinopterygii,Perciformes,Callionymidae,NA,NA,Callionymidae,family,125522,Callionymidae,125522,prey
Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus,Trachurus trachurus,Trachurus trachurus,species,126822,Trachurus trachurus,126822,prey
Chordata,Actinopterygii,Perciformes,Carangidae,NA,NA,Carangidae,family,125523,Carangidae,125523,prey
Chordata,Actinopterygii,Perciformes,Trachinidae,Echiichthys,Echiichthys vipera,Echiichthys vipera,species,150630,Echiichthys vipera,150630,prey
Chordata,Actinopterygii,Perciformes,Trachinidae,NA,NA,Trachinidae,family,125570,Trachinidae,125570,prey
Chordata,Actinopterygii,Perciformes,Blenniidae,NA,NA,Blenniidae,family,125519,Blenniidae,125519,prey
Chordata,Actinopterygii,Perciformes,Sparidae,Diplodus,Diplodus sargus,Diplodus sargus,species,127053,Diplodus sargus,127053,prey
Chordata,Actinopterygii,Perciformes,Mugilidae,NA,NA,Mugilidae,family,125546,Mugilidae,125546,prey
Chordata,Actinopterygii,Gadiformes,Gadidae,Boregadus,Boreogadus saida,Boreogadus saida,species,126433,Boreogadus saida,126433,prey
Chordata,Actinopterygii,Gadiformes,Gadidae,Pollachius,Pollachius virens,Pollachius virens,species,126441,Pollachius virens,126441,prey
Chordata,Actinopterygii,Gadiformes,Gadidae,Pollachius,Pollachius pollachius,Pollachius pollachius,species,126440,Pollachius pollachius,126440,prey
Chordata,Actinopterygii,Gadiformes,Gadidae,Pollachius,NA,Pollachius,genus,125736,Pollachius,125736,prey
Chordata,Actinopterygii,Gadiformes,Gadidae,Trisopterus,Trisopterus minutus,Trisopterus minutus,species,126446,Trisopterus minutus,126446,prey
Chordata,Actinopterygii,Gadiformes,Gadidae,Trisopterus,Trisopterus esmarkii,Trisopterus esmarkii,species,126444,Trisopterus esmarkii,126444,prey
Chordata,Actinopterygii,Gadiformes,Gadidae,Trisopterus,Trisopterus luscus,Trisopterus luscus,species,126445,Trisopterus luscus,126445,prey
Chordata,Actinopterygii,Gadiformes,Gadidae,Trisopterus,NA,Trisopterus,genus,125739,Trisopterus,125739,prey
Chordata,Actinopterygii,Gadiformes,Gadidae,Merlangius,Merlangius merlangus,Merlangius merlangus,species,126438,Merlangius merlangus,126438,prey
Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus morhua,Gadus morhua,species,126436,Gadus morhua,126436,prey
Chordata,Actinopterygii,Gadiformes,Gadidae,Micromesistius,Micromesistius poutassou,Micromesistius poutassou,species,126439,Micromesistius poutassou,126439,prey
Chordata,Actinopterygii,Gadiformes,Gadidae,Melanogrammus,Melanogrammus aeglefinus,Melanogrammus aeglefinus,species,126437,Melanogrammus aeglefinus,126437,prey
Chordata,Actinopterygii,Gadiformes,Gadidae,Gadiculus,Gadiculus argenteus,Gadiculus argenteus,species,126435,Gadiculus argenteus,126435,prey
Chordata,Actinopterygii,Gadiformes,Gadidae,Raniceps,Raniceps raninus,Raniceps raninus,species,126442,Raniceps raninus,126442,prey
Chordata,Actinopterygii,Gadiformes,Gadidae,NA,NA,Gadidae,family,125469,Gadidae,125469,prey
Chordata,Actinopterygii,Gadiformes,Lotidae,Gaidropsarus,Gaidropsarus vulgaris,Gaidropsarus vulgaris,species,126458,Gaidropsarus vulgaris,126458,prey
Chordata,Actinopterygii,Gadiformes,Lotidae,Gaidropsarus,Gaidropsarus mediterraneus,Gaidropsarus mediterraneus,species,126457,Gaidropsarus mediterraneus,126457,prey
Chordata,Actinopterygii,Gadiformes,Lotidae,Gaidropsarus,NA,Gaidropsarus,genus,125743,Gaidropsarus,125743,prey
Chordata,Actinopterygii,Gadiformes,Lotidae,Ciliata,Ciliata mustela,Ciliata mustela,species,126448,Ciliata mustela,126448,prey
Chordata,Actinopterygii,Gadiformes,Lotidae,Enchelyopus,Enchelyopus cimbrius,Enchelyopus cimbrius,species,126450,Enchelyopus cimbrius,126450,prey
Chordata,Actinopterygii,Gadiformes,Lotidae,NA,NA,Lotidae,family,125470,Lotidae,125470,prey
Chordata,Actinopterygii,Gadiformes,Phycidae,Phycis,Phycis blennoides,Phycis blennoides,species,126501,Phycis blennoides,126501,prey
Chordata,Actinopterygii,Gadiformes,Phycidae,Urophycis,Urophycis tenuis,Urophycis tenuis,species,126504,Urophycis tenuis,126504,prey
Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius merluccius,Merluccius merluccius,species,126484,Merluccius merluccius,126484,prey
