reference,ref_n,ref_ids
"Daunt & Wanless IMLOT 1973-2014, Bull et al 2004 Ardea 92, 43–52 & Bull  et al 2001 JNCC Report, No. 315",3,REF016; REF010; REF009
"Daunt & Wanless IMLOT 1973-2014, Harris & Wanless 1990 Journal of Applied Ecology 27,172–187, Harris & Wanless 1997 ICES Journal of Marine Science 54, 615–623, Rindorf 2000 Marine Ecology Progress Series 202, 241–252",4,REF016; REF031; REF035; REF063
"Daunt & Wanless IMLOT 1973-2014, Harris & Wanless 1997 ICES Journal of Marine Science 54, 615–623, Rindorf 2000 Marine Ecology Progress Series 202, 241–252",3,REF016; REF034; REF063
"Daunt & Wanless IMLOT 1973-2014, Harris & Wanless 1997 ICES Journal of Marine Science 54, 615–623, Rindorf 2000 Marine Ecology Progress Series 202, 241–252, Wanless & Harris 1992 Bird Study 39, 145–154",4,REF016; REF034; REF063; REF090
"Daunt & Wanless IMLOT 1973-2014, Harris & Wanless 1998 JNCC Report, No. 282, Bull et al 2004 Ardea 92, 43–52",3,REF016; REF036; REF010
"Daunt & Wanless IMLOT 1973-2014, Harris et al 2005 JNCC Report, No. 375",2,REF016; REF038
"Daunt & Wanless IMLOT 1973-2014, Newell et 2013  JNCC Report, No. 475b",2,REF016; REF049
"Daunt & Wanless IMLOT 1973-2014, Newell et al 2013 JNCC Report, No. 475a",2,REF016; REF050
"Daunt & Wanless IMLOT 1973-2014, Newell et al 2013 JNCC Report, No. 475c",2,REF016; REF051
"Daunt & Wanless IMLOT 1973-2014, Newell et al 2013 JNCC Report, No. 475d",2,REF016; REF052
"Daunt & Wanless IMLOT 1973-2014, Newell et al 2013 JNCC Report, No. 475e",2,REF016; REF053
"Daunt & Wanless IMLOT 1973-2014, Newell et al 2013 JNCC Report, No. 475f",2,REF016; REF054
"Daunt & Wanless IMLOT 1973-2014, Newell et al 2013 JNCC Report, No. 475g",2,REF016; REF055
"Daunt & Wanless IMLOT 1973-2014, Newell et al 2016 JNCC Report, No. 475h.",2,REF016; REF056
"Daunt & Wanless IMLOT 1973-2014, Newell et al 2016 JNCC Report, No. 475i.",2,REF016; REF057
"Daunt & Wanless IMLOT 1973-2014, Newell et al 2016 JNCC Report, No. 475j",2,REF016; REF058
"Daunt & Wanless IMLOT 1973-2014, Wilson et al 2002 JNCC Report, No. 328",2,REF016; REF093
"Daunt & Wanless IMLOT 1973-2014, Wilson et al 2003 JNCC Report, No. 338",2,REF016; REF094
"Daunt & Wanless IMLOT 1973-2014, Wilson et al 2005 JNCC Report, No. 362",2,REF016; REF096
"Evans 1975 Bird Study 22, 239-247",1,REF017
"Fowler & Dye 1987 Seabird 10,71-74",1,REF018
Francis Daunt,1,REF019
Furness & Todd 1984 Ibis 126: 379-387,1,REF020
"Furness 1990 Ibis 132,205-217",1,REF021
"Galbraith 1983 Bird Study 30, 109–120",1,REF022
"Gray et al 2003 J Zool 259,109-113",1,REF023
"Gray et al 2003 J Zool 259,109-113, Phillips et al 1999 Mar Biol 135,159-170",2,REF023; REF062
"Halley et al 1995 Seabird 17, 12-20",1,REF024
"Hamer et al 2007 Marine Ecology - Progress Series 338, 295-305.",1,REF026
"Hamer et al 2007 Marine Ecology - Progress Series 338, 295-305, Hamer et al 2000 MEPS 200,257-264",2,REF026; REF025
Harris & Hislop 1978 J Zool 185: 213-236.,1,REF027
"Harris & Riddiford 1989 Scottish Birds 15,119-125",1,REF028
"Harris & Riddisford 1989 Scott Birds 15,119",1,REF028
"Harris & Riddiford 1989 Scottish Birds 15, 126–130",1,REF028
Harris & Riddiford 1989 Scottish Birds 15: 119-125,1,REF028
"Harris & Riddisford 1989 Scottish Birds 15, 119-125",1,REF028
Harris & Riddisford 1989 Scottish Birds 15:119-125,1,REF028
"in Harris & Wanless 1985 J Zool 207, 441-458",1,REF029
"Harris & Wanless 1985 J Zool 207, 441-458",1,REF029
"Harris & Wanless 1986 Ornis Scand 17, 41-46",1,REF030
"Harris & Wanless 1990 Journal of Applied Ecology 27,172–187",1,REF031
"Harris & Wanless 1990 Journal of Applied Ecology 27,172–187, Swann et al 2008 Seabird 21, 44–54",2,REF031; REF079
"Harris & Wanless 1991 Ornis Scandinavica 22,375-382",1,REF032
"Harris & Wanless 1993 Bird Study 40,135-139",1,REF033
"Harris 1970 Ibis 112, 540-541",1,REF037
"Harvey et al 1990 Fair Isle Bird Observatory Report 42, 47-54",1,REF039
"Hatchwell 1991 Ibis 133, 153-161",1,REF040
"Heubeck 2009 Seabird 22, 9-18",1,REF041
"Howells et al 2017 MEPS 583,227-242",1,REF042
"Lewis et al 2001 Marine Ecology Progress Series 221, 277–284",1,REF043
"Lewis et al 2003 Ardea 91, 167-176",1,REF044
