id,pred_common_name,pred_species,year,startyear,endyear,multiyear,location,latitude,longitude,pred_breeding_status,pred_age_group,prey_orig_descr,prey_taxon,freq_occ,freq_num,freq_biomass,prey_size,sample_size,sample_type,source,notes,prey_age_group,pred_rank,pred_aphia_id,pred_valid_name,pred_valid_aphia_id,prey_rank,prey_aphia_id,prey_valid_name,prey_valid_aphia_id,ref_n,ref_ids
57,Atlantic puffin,Fratercula arctica,1988,1988,1988,FALSE,Fair Isle,59.56,-1.63,breeding,adult,rockling,Gaidropsarus,0.01,NA,NA,NA,159,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,genus,125743,Gaidropsarus,125743,1,REF029
58,Atlantic puffin,Fratercula arctica,1988,1988,1988,FALSE,Fair Isle,59.56,-1.63,breeding,adult,whiting,Merlangius merlangus,0.51,NA,NA,NA,159,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126438,Merlangius merlangus,126438,1,REF029
59,Atlantic puffin,Fratercula arctica,1988,1988,1988,FALSE,Fair Isle,59.56,-1.63,breeding,adult,other,other,0,NA,NA,NA,34,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,NA,NA,NA,NA,1,REF048
60,Atlantic puffin,Fratercula arctica,1988,1988,1988,FALSE,Fair Isle,59.56,-1.63,breeding,adult,flatfish,Pleuronectiformes,0.006,NA,NA,NA,34,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,order,10331,Pleuronectiformes,10331,1,REF048
61,Atlantic puffin,Fratercula arctica,1988,1988,1988,FALSE,Fair Isle,59.56,-1.63,breeding,adult,saithe,Pollachius virens,0,NA,NA,NA,159,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126441,Pollachius virens,126441,1,REF029
62,Atlantic puffin,Fratercula arctica,1988,1988,1988,FALSE,Fair Isle,59.56,-1.63,breeding,adult,sprat,Sprattus sprattus,0.05,NA,NA,NA,159,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126425,Sprattus sprattus,126425,1,REF029
63,Atlantic puffin,Fratercula arctica,1988,1988,1988,FALSE,Fair Isle,59.56,-1.63,breeding,adult,pipefish,Syngnathidae,0,NA,NA,NA,34,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125606,Syngnathidae,125606,1,REF048
64,Atlantic puffin,Fratercula arctica,1989,1989,1989,FALSE,Fair Isle,59.56,-1.63,breeding,adult,sandeel,Ammodytidae,0.743,NA,NA,NA,64,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125516,Ammodytidae,125516,1,REF048
65,Atlantic puffin,Fratercula arctica,1989,1989,1989,FALSE,Fair Isle,59.56,-1.63,breeding,adult,clupeidae,Clupeidae,0.092,NA,NA,NA,64,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125464,Clupeidae,125464,1,REF048
66,Atlantic puffin,Fratercula arctica,1989,1989,1989,FALSE,Fair Isle,59.56,-1.63,breeding,adult,gadidae,Gadidae,0.165,NA,NA,NA,64,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125469,Gadidae,125469,1,REF048
67,Atlantic puffin,Fratercula arctica,1989,1989,1989,FALSE,Fair Isle,59.56,-1.63,breeding,adult,other,other,0,NA,NA,NA,64,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,NA,NA,NA,NA,1,REF048
68,Atlantic puffin,Fratercula arctica,1989,1989,1989,FALSE,Fair Isle,59.56,-1.63,breeding,adult,flatfish,Pleuronectiformes,0,NA,NA,NA,64,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,order,10331,Pleuronectiformes,10331,1,REF048
69,Atlantic puffin,Fratercula arctica,1989,1989,1989,FALSE,Fair Isle,59.56,-1.63,breeding,adult,pipefish,Syngnathidae,0,NA,NA,NA,64,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125606,Syngnathidae,125606,1,REF048
70,Atlantic puffin,Fratercula arctica,1990,1990,1990,FALSE,Fair Isle,59.56,-1.63,breeding,adult,sandeel,Ammodytidae,0.452,NA,NA,NA,73,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125516,Ammodytidae,125516,1,REF048
71,Atlantic puffin,Fratercula arctica,1990,1990,1990,FALSE,Fair Isle,59.56,-1.63,breeding,adult,clupeidae,Clupeidae,0.132,NA,NA,NA,73,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125464,Clupeidae,125464,1,REF048
72,Atlantic puffin,Fratercula arctica,1990,1990,1990,FALSE,Fair Isle,59.56,-1.63,breeding,adult,gadidae,Gadidae,0.416,NA,NA,NA,73,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125469,Gadidae,125469,1,REF048
73,Atlantic puffin,Fratercula arctica,1990,1990,1990,FALSE,Fair Isle,59.56,-1.63,breeding,adult,other,other,0,NA,NA,NA,73,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,NA,NA,NA,NA,1,REF048
74,Atlantic puffin,Fratercula arctica,1990,1990,1990,FALSE,Fair Isle,59.56,-1.63,breeding,adult,flatfish,Pleuronectiformes,0,NA,NA,NA,73,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,order,10331,Pleuronectiformes,10331,1,REF048
75,Atlantic puffin,Fratercula arctica,1990,1990,1990,FALSE,Fair Isle,59.56,-1.63,breeding,adult,pipefish,Syngnathidae,0,NA,NA,NA,73,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125606,Syngnathidae,125606,1,REF048
76,Atlantic puffin,Fratercula arctica,1991,1991,1991,FALSE,Fair Isle,59.56,-1.63,breeding,adult,sandeel,Ammodytidae,0.932,NA,NA,NA,72,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125516,Ammodytidae,125516,1,REF048
77,Atlantic puffin,Fratercula arctica,1991,1991,1991,FALSE,Fair Isle,59.56,-1.63,breeding,adult,clupeidae,Clupeidae,0.029,NA,NA,NA,72,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125464,Clupeidae,125464,1,REF048
78,Atlantic puffin,Fratercula arctica,1991,1991,1991,FALSE,Fair Isle,59.56,-1.63,breeding,adult,gadidae,Gadidae,0.039,NA,NA,NA,72,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125469,Gadidae,125469,1,REF048
79,Atlantic puffin,Fratercula arctica,1991,1991,1991,FALSE,Fair Isle,59.56,-1.63,breeding,adult,other,other,0,NA,NA,NA,72,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,NA,NA,NA,NA,1,REF048
80,Atlantic puffin,Fratercula arctica,1991,1991,1991,FALSE,Fair Isle,59.56,-1.63,breeding,adult,flatfish,Pleuronectiformes,0,NA,NA,NA,72,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,order,10331,Pleuronectiformes,10331,1,REF048
81,Atlantic puffin,Fratercula arctica,1991,1991,1991,FALSE,Fair Isle,59.56,-1.63,breeding,adult,pipefish,Syngnathidae,0,NA,NA,NA,72,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125606,Syngnathidae,125606,1,REF048
82,Atlantic puffin,Fratercula arctica,1992,1992,1992,FALSE,Fair Isle,59.56,-1.63,breeding,adult,sandeel,Ammodytidae,0.288,NA,NA,NA,107,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125516,Ammodytidae,125516,1,REF048
83,Atlantic puffin,Fratercula arctica,1992,1992,1992,FALSE,Fair Isle,59.56,-1.63,breeding,adult,clupeidae,Clupeidae,0,NA,NA,NA,107,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125464,Clupeidae,125464,1,REF048
84,Atlantic puffin,Fratercula arctica,1992,1992,1992,FALSE,Fair Isle,59.56,-1.63,breeding,adult,gadidae,Gadidae,0.712,NA,NA,NA,107,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125469,Gadidae,125469,1,REF048
85,Atlantic puffin,Fratercula arctica,1992,1992,1992,FALSE,Fair Isle,59.56,-1.63,breeding,adult,other,other,0,NA,NA,NA,107,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,NA,NA,NA,NA,1,REF048
86,Atlantic puffin,Fratercula arctica,1992,1992,1992,FALSE,Fair Isle,59.56,-1.63,breeding,adult,flatfish,Pleuronectiformes,0,NA,NA,NA,107,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,order,10331,Pleuronectiformes,10331,1,REF048
87,Atlantic puffin,Fratercula arctica,1992,1992,1992,FALSE,Fair Isle,59.56,-1.63,breeding,adult,pipefish,Syngnathidae,0,NA,NA,NA,107,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125606,Syngnathidae,125606,1,REF048
88,Atlantic puffin,Fratercula arctica,1993,1993,1993,FALSE,Fair Isle,59.56,-1.63,breeding,adult,sandeel,Ammodytidae,0.443,NA,NA,NA,15,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125516,Ammodytidae,125516,1,REF048
89,Atlantic puffin,Fratercula arctica,1993,1993,1993,FALSE,Fair Isle,59.56,-1.63,breeding,adult,clupeidae,Clupeidae,0.038,NA,NA,NA,15,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125464,Clupeidae,125464,1,REF048
90,Atlantic puffin,Fratercula arctica,1993,1993,1993,FALSE,Fair Isle,59.56,-1.63,breeding,adult,gadidae,Gadidae,0.519,NA,NA,NA,15,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125469,Gadidae,125469,1,REF048
91,Atlantic puffin,Fratercula arctica,1993,1993,1993,FALSE,Fair Isle,59.56,-1.63,breeding,adult,other,other,0,NA,NA,NA,15,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,NA,NA,NA,NA,1,REF048
